NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183483;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;59,43;0
183484;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;76,5;0
183485;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;66,97;0
183486;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;109,92;0
183487;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;82,52;0
183488;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;29,68;0
183489;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;11,98;0
183490;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;43,29;0
183491;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;78,53;0
183492;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;165,86;0
183493;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;59,83;0
183494;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;41,78;0
183495;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;41,97;0
183496;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;99,89;0
183497;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;60,71;0
183498;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;216,9;0
183499;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;15,28;0
183500;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;160,01;0
183501;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;155,33;0
183502;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;195,76;0
183503;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;30,01;0
183504;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;26,47;0
183505;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;24,19;0
183506;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;12,67;0
183507;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;142,24;0
183508;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;75,6;0
183509;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;76,54;0
183510;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;68,06;0
183511;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;14,04;0
183512;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;56,24;0
183513;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;23,53;0
183514;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;3,53;0
183515;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;295,04;0
183516;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;5,98;0
183517;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;132,48;0
183518;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;132,53;0
183519;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;1;0
183520;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;41;0
183521;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;45,88;0
183522;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;122,63;0
183523;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;75,8;0
183524;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;125,23;0
183525;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;14,99;0
183526;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;117,7;0
183527;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;19,88;0
183528;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;47,17;0
183529;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;47,78;0
183530;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;3,79;0
183531;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;13,6;0
183532;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;18,2;0
183533;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;15,49;0
183534;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;82,76;0
183535;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;42,28;0
183536;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;44,78;0
183537;1;65;07/05/2025;5102;;CLIENTES DIVERSOS;;48,67;0
183538;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;28,99;0
183539;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;20,63;0
183540;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;75,69;0
183541;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;425,27;0
183542;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;6,25;0
183543;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;275,27;0
183544;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;31,99;0
183545;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;249,79;0
183546;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;42,48;0
183547;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;175,8;0
183548;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;85,02;0
183549;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;259,5;0
183550;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;210,17;0
183551;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;21,74;0
